time,Risk
2008-02-01 09:30:00,2.8922413704303035e-07
2008-02-01 09:35:00,3.48083691766009e-07
2008-02-01 09:40:00,3.828700036427172e-07
2008-02-01 09:45:00,3.695860222621821e-07
2008-02-01 09:50:00,3.8645274256128036e-07
2008-02-01 09:55:00,4.131125555095163e-07
2008-02-01 10:00:00,3.9508422768841554e-07
2008-02-01 10:05:00,4.005864393821794e-07
2008-02-01 10:10:00,4.0359304418190277e-07
2008-02-01 10:15:00,4.274692181378112e-07
2008-02-01 10:20:00,4.3087212578337236e-07
2008-02-01 10:25:00,2.569075851691182e-07
2008-02-01 10:30:00,2.1458425515501323e-07
2008-02-01 10:35:00,2.3459946600758372e-07
2008-02-01 10:40:00,2.0387897194723324e-07
2008-02-01 10:45:00,2.0804223990711937e-07
2008-02-01 10:50:00,2.4511659190794466e-07
2008-02-01 10:55:00,2.2771132456817544e-07
2008-02-01 11:00:00,2.2407234984520644e-07
2008-02-01 11:05:00,1.7095347179975318e-07
2008-02-01 11:10:00,1.7969227372754537e-07
2008-02-01 11:15:00,1.7307542895404428e-07
2008-02-01 11:20:00,1.6244118927786727e-07
2008-02-01 11:25:00,1.5856696926662388e-07
2008-02-01 11:30:00,1.5275613615976025e-07
2008-02-01 11:35:00,1.3856053509149422e-07
2008-02-01 11:40:00,1.2954192942321577e-07
2008-02-01 11:45:00,1.245367875900917e-07
2008-02-01 11:50:00,7.532112924018373e-08
2008-02-01 11:55:00,8.051231757380798e-08
2008-02-01 12:00:00,7.879396056837504e-08
2008-02-01 12:05:00,8.030236888768094e-08
2008-02-01 12:10:00,7.586704598108263e-08
2008-02-01 12:15:00,6.311347800062039e-08
2008-02-01 12:20:00,6.622961672068635e-08
2008-02-01 12:25:00,7.52481311777507e-08
2008-02-01 12:30:00,7.828256999094796e-08
2008-02-01 12:35:00,7.501722878617975e-08
2008-02-01 12:40:00,7.202160085895794e-08
2008-02-01 12:45:00,6.97316790898042e-08
2008-02-01 12:50:00,7.778425569080712e-08
2008-02-01 12:55:00,7.141373856102836e-08
2008-02-01 13:00:00,7.118517729670588e-08
2008-02-01 13:05:00,7.272040068589996e-08
2008-02-01 13:10:00,7.670492763051853e-08
2008-02-01 13:15:00,5.3271430750587194e-08
2008-02-01 13:20:00,5.1751628401066924e-08
2008-02-01 13:25:00,5.986552774569511e-08
2008-02-01 13:30:00,4.9681163640891024e-08
2008-02-01 13:35:00,5.2077834676081785e-08
2008-02-01 13:40:00,4.819838120044166e-08
2008-02-01 13:45:00,4.339926971754989e-08
2008-02-01 13:50:00,4.219335542822058e-08
2008-02-01 13:55:00,3.845377477800439e-08
2008-02-01 14:00:00,4.1023908760245986e-08
2008-02-01 14:05:00,4.786285278355554e-08
2008-02-01 14:10:00,5.02939725957621e-08
2008-02-01 14:15:00,5.233767505496259e-08
2008-02-01 14:20:00,5.3667988745420146e-08
2008-02-01 14:25:00,5.655971572643897e-08
2008-02-01 14:30:00,5.727516622466295e-08
2008-02-01 14:35:00,5.523791268088409e-08
2008-02-01 14:40:00,5.2203629276929924e-08
2008-02-01 14:45:00,5.539551523506433e-08
2008-02-01 14:50:00,5.5832801516060124e-08
2008-02-01 14:55:00,5.527261597275941e-08
2008-02-01 15:00:00,4.587834463214922e-08
2008-02-01 15:05:00,4.294899688989375e-08
2008-02-01 15:10:00,4.2731906345745784e-08
2008-02-01 15:15:00,4.3665756275297127e-08
2008-02-01 15:20:00,6.183475512092164e-08
2008-02-01 15:25:00,6.148969606921278e-08
2008-02-01 15:30:00,6.943141852412034e-08
2008-02-01 15:35:00,7.078409632940903e-08
2008-02-01 15:40:00,8.158082891257286e-08
2008-02-01 15:45:00,9.52012321410478e-08
2008-02-01 15:50:00,9.892148968563203e-08
2008-02-01 15:55:00,1.0643565778859761e-07
2008-02-01 16:00:00,1.0704936472191596e-07
2008-02-04 09:34:00,1.490740743865347e-07
2008-02-04 09:39:00,1.599747447214842e-07
2008-02-04 09:44:00,1.5579024620993133e-07
2008-02-04 09:49:00,1.2170930543312846e-07
2008-02-04 09:54:00,1.233677341746901e-07
2008-02-04 09:59:00,9.996217933565568e-08
2008-02-04 10:04:00,1.158074172493903e-07
2008-02-04 10:09:00,1.0967047537340934e-07
2008-02-04 10:14:00,9.710675771955372e-08
2008-02-04 10:19:00,9.759712094486547e-08
2008-02-04 10:24:00,1.001502552250329e-07
2008-02-04 10:29:00,9.824600555597809e-08
2008-02-04 10:34:00,7.809063400602529e-08
2008-02-04 10:39:00,9.168910030774406e-08
2008-02-04 10:44:00,8.506415347862425e-08
2008-02-04 10:49:00,8.660486720577216e-08
2008-02-04 10:54:00,8.192306356801204e-08
2008-02-04 10:59:00,9.666552329150987e-08
2008-02-04 11:04:00,9.15171537601865e-08
2008-02-04 11:09:00,9.041925641044626e-08
2008-02-04 11:14:00,8.704641063466845e-08
2008-02-04 11:19:00,8.56514758643578e-08
2008-02-04 11:24:00,8.466330510925403e-08
2008-02-04 11:29:00,7.99886751146179e-08
2008-02-04 11:34:00,7.103900232897617e-08
2008-02-04 11:39:00,5.450902319738248e-08
2008-02-04 11:44:00,5.419639446732977e-08
2008-02-04 11:49:00,5.402436401419749e-08
2008-02-04 11:54:00,5.141129275616759e-08
2008-02-04 11:59:00,4.745676035253439e-08
2008-02-04 12:04:00,4.758566745027269e-08
2008-02-04 12:09:00,4.601070636539758e-08
2008-02-04 12:14:00,3.693946822350726e-08
2008-02-04 12:19:00,3.6669606027011666e-08
2008-02-04 12:24:00,3.525605392792618e-08
2008-02-04 12:29:00,3.404734106271288e-08
2008-02-04 12:34:00,3.239917213050284e-08
2008-02-04 12:39:00,3.2630205531223057e-08
2008-02-04 12:44:00,3.0864914693065966e-08
2008-02-04 12:49:00,2.815628923805358e-08
2008-02-04 12:54:00,3.053070446883602e-08
2008-02-04 12:59:00,2.6820946624764506e-08
2008-02-04 13:04:00,2.5590521322723844e-08
2008-02-04 13:09:00,4.540778304618366e-08
2008-02-04 13:14:00,5.8189872840461724e-08
2008-02-04 13:19:00,5.924722579101009e-08
2008-02-04 13:24:00,5.759540518008547e-08
2008-02-04 13:29:00,5.749160372285772e-08
2008-02-04 13:34:00,5.3104530195569644e-08
