time,Risk
2008-02-01 09:30:00,2.8415286159596186e-07
2008-02-01 09:35:00,3.4083832562709215e-07
2008-02-01 09:40:00,3.811470661594392e-07
2008-02-01 09:45:00,3.761280446158694e-07
2008-02-01 09:50:00,3.8218455600517834e-07
2008-02-01 09:55:00,3.8585164104286363e-07
2008-02-01 10:00:00,4.111991408341654e-07
2008-02-01 10:05:00,3.845627462328835e-07
2008-02-01 10:10:00,3.980780986362252e-07
2008-02-01 10:15:00,4.2634321725830726e-07
2008-02-01 10:20:00,4.1947786611377414e-07
2008-02-01 10:25:00,2.3915212871596366e-07
2008-02-01 10:30:00,2.125981029673183e-07
2008-02-01 10:35:00,2.3626478336634216e-07
2008-02-01 10:40:00,2.0399256193190672e-07
2008-02-01 10:45:00,2.0666322280002377e-07
2008-02-01 10:50:00,2.448306835077736e-07
2008-02-01 10:55:00,2.2388946505230735e-07
2008-02-01 11:00:00,2.2232522369964433e-07
2008-02-01 11:05:00,1.724308886379054e-07
2008-02-01 11:10:00,1.7629444610139086e-07
2008-02-01 11:15:00,1.7007045759752367e-07
2008-02-01 11:20:00,1.6321785433011246e-07
2008-02-01 11:25:00,1.5837810347993868e-07
2008-02-01 11:30:00,1.5147725357241647e-07
2008-02-01 11:35:00,1.3972986390307302e-07
2008-02-01 11:40:00,1.3043518167003984e-07
2008-02-01 11:45:00,1.2435338309227541e-07
2008-02-01 11:50:00,7.598860958944813e-08
2008-02-01 11:55:00,8.138800036848478e-08
2008-02-01 12:00:00,8.033471845485477e-08
2008-02-01 12:05:00,8.138576846896751e-08
2008-02-01 12:10:00,7.430063096990689e-08
2008-02-01 12:15:00,6.401250853867548e-08
2008-02-01 12:20:00,6.596404631791799e-08
2008-02-01 12:25:00,7.28654123397788e-08
2008-02-01 12:30:00,7.562647681247896e-08
2008-02-01 12:35:00,7.528190503861439e-08
2008-02-01 12:40:00,7.22065558048558e-08
2008-02-01 12:45:00,7.111884216161637e-08
2008-02-01 12:50:00,7.585772886924372e-08
2008-02-01 12:55:00,7.25681321793214e-08
2008-02-01 13:00:00,7.301573809472467e-08
2008-02-01 13:05:00,7.218494891241709e-08
2008-02-01 13:10:00,7.558337675572654e-08
2008-02-01 13:15:00,5.265802988049514e-08
2008-02-01 13:20:00,5.2531891280798104e-08
2008-02-01 13:25:00,6.128946775651652e-08
2008-02-01 13:30:00,4.923680907992743e-08
2008-02-01 13:35:00,5.269792072132607e-08
2008-02-01 13:40:00,4.829524622529733e-08
2008-02-01 13:45:00,4.331815497762689e-08
2008-02-01 13:50:00,4.192445439776783e-08
2008-02-01 13:55:00,3.833957591082971e-08
2008-02-01 14:00:00,4.078079717618066e-08
2008-02-01 14:05:00,4.7980016099335076e-08
2008-02-01 14:10:00,5.001758951777048e-08
2008-02-01 14:15:00,5.3230092716770335e-08
2008-02-01 14:20:00,5.359286456452969e-08
2008-02-01 14:25:00,5.579725724388805e-08
2008-02-01 14:30:00,5.75036945274416e-08
2008-02-01 14:35:00,5.5396108755643575e-08
2008-02-01 14:40:00,5.28001951197844e-08
2008-02-01 14:45:00,5.5485944143218495e-08
2008-02-01 14:50:00,5.518695139299709e-08
2008-02-01 14:55:00,5.3881353181914686e-08
2008-02-01 15:00:00,4.676890324961366e-08
2008-02-01 15:05:00,4.267120945535374e-08
2008-02-01 15:10:00,4.3419332985423863e-08
2008-02-01 15:15:00,4.394345332441216e-08
2008-02-01 15:20:00,6.276094585280165e-08
2008-02-01 15:25:00,6.291513899511351e-08
2008-02-01 15:30:00,6.977428589040986e-08
2008-02-01 15:35:00,7.047393803228596e-08
2008-02-01 15:40:00,8.143237247341771e-08
2008-02-01 15:45:00,9.848573107016461e-08
2008-02-01 15:50:00,9.809895026563119e-08
2008-02-01 15:55:00,1.0455031665518708e-07
2008-02-01 16:00:00,1.0759280888126223e-07
2008-02-04 09:34:00,1.5566641866534136e-07
2008-02-04 09:39:00,1.5714701998595285e-07
2008-02-04 09:44:00,1.5461521589896882e-07
2008-02-04 09:49:00,1.169389563793389e-07
2008-02-04 09:54:00,1.1673210402981796e-07
2008-02-04 09:59:00,1.0618598699244547e-07
2008-02-04 10:04:00,1.1528150700969065e-07
2008-02-04 10:09:00,1.064952292690946e-07
2008-02-04 10:14:00,9.68460414713056e-08
2008-02-04 10:19:00,9.416797528915227e-08
2008-02-04 10:24:00,9.787194629008687e-08
2008-02-04 10:29:00,1.0114039975839546e-07
2008-02-04 10:34:00,7.86712691218468e-08
2008-02-04 10:39:00,9.250295778866933e-08
2008-02-04 10:44:00,8.429251059855707e-08
2008-02-04 10:49:00,8.557348488601513e-08
2008-02-04 10:54:00,7.968971681343387e-08
2008-02-04 10:59:00,9.489835658292643e-08
2008-02-04 11:04:00,9.394297939343517e-08
2008-02-04 11:09:00,9.086912453262263e-08
2008-02-04 11:14:00,8.926295645476993e-08
2008-02-04 11:19:00,8.55469429161412e-08
2008-02-04 11:24:00,8.441804273770596e-08
2008-02-04 11:29:00,8.291750728496511e-08
2008-02-04 11:34:00,7.107433352239016e-08
2008-02-04 11:39:00,5.463318426820106e-08
2008-02-04 11:44:00,5.4690976534489445e-08
2008-02-04 11:49:00,5.4545088055485685e-08
2008-02-04 11:54:00,5.217466050450164e-08
2008-02-04 11:59:00,4.70452736370861e-08
2008-02-04 12:04:00,4.839678554048764e-08
2008-02-04 12:09:00,4.5732378081710976e-08
2008-02-04 12:14:00,3.797614678166152e-08
2008-02-04 12:19:00,3.680338115290285e-08
2008-02-04 12:24:00,3.5118979389316924e-08
2008-02-04 12:29:00,3.401488048006948e-08
2008-02-04 12:34:00,3.2806802230337203e-08
2008-02-04 12:39:00,3.267520843816659e-08
2008-02-04 12:44:00,3.09813371942783e-08
2008-02-04 12:49:00,2.8402268429483766e-08
2008-02-04 12:54:00,3.0974760026291764e-08
2008-02-04 12:59:00,2.735177626836269e-08
2008-02-04 13:04:00,2.620727043164176e-08
2008-02-04 13:09:00,4.5310910851975926e-08
2008-02-04 13:14:00,5.883124986565801e-08
2008-02-04 13:19:00,5.935097911534665e-08
2008-02-04 13:24:00,5.62685364832952e-08
2008-02-04 13:29:00,5.823435966697611e-08
2008-02-04 13:34:00,5.3912264806005277e-08
