,Risk
0,4.859167962917365e-07
1,4.941344677307988e-07
2,1.9499672667997285e-07
3,2.231771887363293e-06
4,1.212732699808314e-05
5,2.159624931077787e-07
6,5.587104124690894e-07
7,2.8020313331644435e-06
8,1.7371957418448992e-05
9,3.3244912241752613e-07
10,1.1367532942133702e-07
11,2.404849758876008e-07
12,9.742051085889147e-08
13,7.227645511555719e-08
14,8.105734969391377e-08
15,0.00011126328886509014
16,9.086996322712632e-08
17,4.4043247773391405e-07
18,8.50934486271489e-08
19,5.3336149938284056e-06
20,1.5288942593406065e-07
21,1.398935335178566e-07
22,7.209010839427263e-08
23,8.829787519470769e-08
24,6.252870077378105e-08
25,5.8231717756041995e-08
26,1.0576633061084501e-07
27,1.233683941647663e-07
28,6.202067621576607e-08
29,6.829366356010832e-08
30,6.613609381984562e-08
31,3.6252420125780225e-05
32,4.685555693534858e-08
33,4.671432593436743e-08
34,4.042280891286106e-08
35,1.6897793225169588e-05
36,5.4594087130279395e-08
37,3.7749964710292035e-07
38,1.6755257333651878e-07
39,1.9765154642388956e-07
40,6.609487545037489e-08
41,2.6887568063036537e-07
42,9.037084908571978e-08
43,1.1691061305913958e-07
44,1.1472372667468242e-07
45,1.0422743571717437e-07
46,3.7224780230025097e-06
47,1.2872105631574773e-07
48,3.4934714586399124e-07
49,1.244672109175314e-07
50,2.1930860382718977e-05
51,1.4545145352437597e-07
52,7.896928231879542e-08
53,5.597173225390787e-08
54,5.023779089490076e-08
55,3.753439847494476e-08
56,6.78228485960103e-08
57,1.1414422241145407e-07
58,3.923568047076086e-07
59,1.7654016290161106e-07
60,7.323290724164626e-08
61,1.2705349271557855e-07
62,5.685112025032375e-08
63,5.071544093944838e-08
64,8.88681078139369e-08
65,6.073792121123795e-08
66,7.642268714754465e-08
67,2.8297432452486422e-05
68,1.751110709954474e-07
69,8.693079639181909e-08
70,4.1583178862689084e-07
71,2.561327522971412e-07
72,1.2621185162451343e-07
73,3.2694053386917384e-06
74,9.764820255178685e-08
75,9.024511068248998e-08
76,4.888711434837097e-06
77,4.781580235596453e-07
78,4.990118518317241e-05
79,2.9338755387315854e-07
80,1.9178405079752648e-07
81,2.3322453937941488e-07
82,3.9619663664825876e-07
83,6.308487424013148e-07
84,3.3201313851991684e-07
85,4.421053010768468e-07
86,1.345364195278964e-07
87,9.169368064779931e-08
88,8.564766922498907e-08
89,7.883811749980359e-08
90,9.773692176234011e-08
91,1.373727379649431e-07
92,4.932657413136678e-07
93,1.3979271450586158e-07
94,5.497068907389844e-07
95,1.2828788673511268e-07
96,2.4205849438315713e-07
97,1.3278803820450588e-07
98,8.845311703601071e-08
99,8.161386125966237e-08
100,6.453997256514946e-08
101,6.02439500864074e-08
102,6.770853070082564e-08
103,5.1672652002755925e-08
104,9.101636598433721e-08
105,1.1856121486972904e-07
106,1.453141872992077e-07
107,1.7616131216613204e-07
108,8.192183137045362e-08
109,7.153570157826976e-08
110,1.0554055060859114e-07
111,1.0337302123439679e-07
112,1.0106555108297287e-07
113,5.315372534669618e-08
114,6.669544036415168e-08
115,7.447496217211411e-08
116,5.4892004577145335e-06
117,5.1785657107771414e-08
118,1.3259697170150052e-07
119,2.034855159049031e-07
120,3.7416797177373406e-08
121,7.195936126798532e-08
122,4.336800890318293e-08
123,9.978948071462674e-08
124,4.5535143977019146e-08
125,3.0241863401143945e-06
126,1.6209464435465696e-05
127,8.607678730808452e-08
128,1.0554995570940273e-07
129,8.238900214822005e-05
130,5.16660589975877e-07
131,1.0394014755972736e-07
132,9.02651533068331e-08
133,1.338704034633622e-07
134,9.575843575672808e-08
135,1.0147200547566968e-07
136,1.343520280532008e-07
137,1.341420740731018e-07
138,1.5194293712145673e-07
139,1.1022359870874595e-06
140,1.7544526799508399e-06
141,7.699253879538543e-08
142,1.1701829382322621e-06
143,6.765453991214601e-08
144,4.7455247738744007e-08
145,8.10881779540575e-08
146,9.363144912048214e-08
147,5.503495451779808e-08
148,6.992361267633612e-08
149,6.41008744782635e-08
150,4.461686296238254e-07
151,1.2250873677558617e-06
152,2.2021021279443963e-06
153,2.0350382598152944e-07
154,1.3523202570222578e-06
155,2.494435742767047e-07
156,5.108006356207938e-07
157,2.8127924655678785e-06
158,1.095730578158038e-06
159,3.040600283773198e-06
160,1.7776264605283849e-07
161,2.1806579214688991e-07
162,1.492144486900623e-05
163,1.9835632339384251e-07
164,1.0952795519141012e-05
165,6.2328555663695e-05
166,1.832209550577967e-07
167,1.9799711720095637e-07
168,2.8944250709206853e-07
169,1.7862674553498882e-07
170,2.0337227065958946e-06
171,5.595554786627506e-08
172,8.976512202786241e-08
173,4.664397425850175e-08
174,5.2791018949235657e-08
175,7.684910544381134e-08
176,2.13059154234766e-08
177,3.675906912468369e-08
