time,Risk
2008-02-01 09:30:00,2.427100049215264e-07
2008-02-01 09:35:00,2.82810416581856e-07
2008-02-01 09:40:00,3.6197395904394774e-07
2008-02-01 09:45:00,3.666298816792663e-07
2008-02-01 09:50:00,3.678619554584454e-07
2008-02-01 09:55:00,3.695686679974641e-07
2008-02-01 10:00:00,3.7909785512385655e-07
2008-02-01 10:05:00,3.907449377316068e-07
2008-02-01 10:10:00,3.9221458357166496e-07
2008-02-01 10:15:00,4.150956951495963e-07
2008-02-01 10:20:00,4.190647549923304e-07
2008-02-01 10:25:00,2.637256188115216e-07
2008-02-01 10:30:00,2.420420456745551e-07
2008-02-01 10:35:00,2.418955868225584e-07
2008-02-01 10:40:00,2.072771595816644e-07
2008-02-01 10:45:00,2.0476801208407203e-07
2008-02-01 10:50:00,2.4998314864269493e-07
2008-02-01 10:55:00,2.1433453836605885e-07
2008-02-01 11:00:00,2.145807646298298e-07
2008-02-01 11:05:00,1.4887557933700653e-07
2008-02-01 11:10:00,1.6134690607305315e-07
2008-02-01 11:15:00,1.735678965520762e-07
2008-02-01 11:20:00,1.6509834449853743e-07
2008-02-01 11:25:00,1.633907141899552e-07
2008-02-01 11:30:00,1.5708218944692177e-07
2008-02-01 11:35:00,1.2518523252226976e-07
2008-02-01 11:40:00,1.1457818546849354e-07
2008-02-01 11:45:00,1.0318750109692062e-07
2008-02-01 11:50:00,5.710438967628658e-08
2008-02-01 11:55:00,6.083768078531006e-08
2008-02-01 12:00:00,6.194619356258741e-08
2008-02-01 12:05:00,6.053247196101747e-08
2008-02-01 12:10:00,5.658241485308396e-08
2008-02-01 12:15:00,5.5457380834457665e-08
2008-02-01 12:20:00,5.853341705716317e-08
2008-02-01 12:25:00,6.778622282532773e-08
2008-02-01 12:30:00,7.518727626313168e-08
2008-02-01 12:35:00,7.391635240256966e-08
2008-02-01 12:40:00,7.740829688301283e-08
2008-02-01 12:45:00,7.327853939427406e-08
2008-02-01 12:50:00,7.996816678944143e-08
2008-02-01 12:55:00,7.606125211975205e-08
2008-02-01 13:00:00,7.420358438553731e-08
2008-02-01 13:05:00,7.443461533544683e-08
2008-02-01 13:10:00,7.413090054724011e-08
2008-02-01 13:15:00,4.3060894111696385e-08
2008-02-01 13:20:00,4.129627990403226e-08
2008-02-01 13:25:00,4.7506963335419966e-08
2008-02-01 13:30:00,4.009942455394939e-08
2008-02-01 13:35:00,4.308518408810057e-08
2008-02-01 13:40:00,4.208231025615657e-08
2008-02-01 13:45:00,3.657782964166674e-08
2008-02-01 13:50:00,3.2218720770266056e-08
2008-02-01 13:55:00,2.8419925047169496e-08
2008-02-01 14:00:00,3.53996781657428e-08
2008-02-01 14:05:00,3.90865226412122e-08
2008-02-01 14:10:00,4.23077949474521e-08
2008-02-01 14:15:00,4.382635191640666e-08
2008-02-01 14:20:00,4.3477394265866066e-08
2008-02-01 14:25:00,4.939581487160591e-08
2008-02-01 14:30:00,5.3243832609577884e-08
2008-02-01 14:35:00,5.142133030915079e-08
2008-02-01 14:40:00,5.023779156599352e-08
2008-02-01 14:45:00,5.3873997790354134e-08
2008-02-01 14:50:00,5.51446756605051e-08
2008-02-01 14:55:00,5.546802303328025e-08
2008-02-01 15:00:00,4.1217521472829734e-08
2008-02-01 15:05:00,4.0517473321661635e-08
2008-02-01 15:10:00,3.846302668801699e-08
2008-02-01 15:15:00,3.889473300404066e-08
2008-02-01 15:20:00,4.992751461633404e-08
2008-02-01 15:25:00,4.590225994959036e-08
2008-02-01 15:30:00,4.868744504168337e-08
2008-02-01 15:35:00,5.0309650766019414e-08
2008-02-01 15:40:00,6.228189529982591e-08
2008-02-01 15:45:00,7.045118367384777e-08
2008-02-01 15:50:00,7.636909637639851e-08
2008-02-01 15:55:00,7.871887392714315e-08
2008-02-01 16:00:00,7.790209365904777e-08
2008-02-04 09:34:00,1.2434547052738087e-07
2008-02-04 09:39:00,1.365005860429396e-07
2008-02-04 09:44:00,1.3204035824140017e-07
2008-02-04 09:49:00,9.602579438902996e-08
2008-02-04 09:54:00,9.392610501600246e-08
2008-02-04 09:59:00,8.351797979631024e-08
2008-02-04 10:04:00,9.102035991301786e-08
2008-02-04 10:09:00,8.298737199428811e-08
2008-02-04 10:14:00,6.493835244867731e-08
2008-02-04 10:19:00,5.976703103693217e-08
2008-02-04 10:24:00,6.468813261110341e-08
2008-02-04 10:29:00,6.538079022034919e-08
2008-02-04 10:34:00,6.540995198551563e-08
2008-02-04 10:39:00,7.301385990416411e-08
2008-02-04 10:44:00,7.183314673412762e-08
2008-02-04 10:49:00,7.36266993978799e-08
2008-02-04 10:54:00,7.158535178569904e-08
2008-02-04 10:59:00,8.586804315299653e-08
2008-02-04 11:04:00,8.512140108411943e-08
2008-02-04 11:09:00,8.935549611310134e-08
2008-02-04 11:14:00,9.301380719995259e-08
2008-02-04 11:19:00,9.299188691084636e-08
2008-02-04 11:24:00,8.934019458770631e-08
2008-02-04 11:29:00,8.633546864657899e-08
2008-02-04 11:34:00,7.510556387166608e-08
2008-02-04 11:39:00,5.3394605749428275e-08
2008-02-04 11:44:00,5.0097126068919023e-08
2008-02-04 11:49:00,4.510799853816453e-08
2008-02-04 11:54:00,4.638749556718696e-08
2008-02-04 11:59:00,4.057329047383412e-08
2008-02-04 12:04:00,4.231868252428668e-08
2008-02-04 12:09:00,3.9159274148991734e-08
2008-02-04 12:14:00,2.3842116241154423e-08
2008-02-04 12:19:00,2.6428418069045227e-08
2008-02-04 12:24:00,2.637871896531389e-08
2008-02-04 12:29:00,2.64092561319413e-08
2008-02-04 12:34:00,2.5077640877826048e-08
2008-02-04 12:39:00,2.5875419211170998e-08
2008-02-04 12:44:00,2.210562976418228e-08
2008-02-04 12:49:00,2.0596754482129125e-08
2008-02-04 12:54:00,2.1803703985977912e-08
2008-02-04 12:59:00,2.1068134227116916e-08
2008-02-04 13:04:00,2.1033354349285938e-08
2008-02-04 13:09:00,4.5110277400111455e-08
2008-02-04 13:14:00,4.818708070402104e-08
2008-02-04 13:19:00,4.847508171761837e-08
2008-02-04 13:24:00,4.7062578108741594e-08
2008-02-04 13:29:00,4.38025454519548e-08
2008-02-04 13:34:00,4.3779713705199176e-08
2008-02-04 13:39:00,4.457898765428268e-08
2008-02-04 13:44:00,4.3287462845096316e-08
2008-02-04 13:49:00,4.458750507584277e-08
2008-02-04 13:54:00,4.736422494913103e-08
2008-02-04 13:59:00,5.5379823414973885e-08
2008-02-04 14:04:00,5.942844484566028e-08
2008-02-04 14:09:00,2.252322464651117e-08
2008-02-04 14:14:00,2.297663479367969e-08
2008-02-04 14:19:00,2.1986063795209426e-08
2008-02-04 14:24:00,4.173614838255739e-08
2008-02-04 14:29:00,3.612306278720313e-08
2008-02-04 14:34:00,4.250659976730307e-08
2008-02-04 14:39:00,4.2295780306688164e-08
2008-02-04 14:44:00,4.008152783310082e-08
2008-02-04 14:49:00,4.652341790099949e-08
2008-02-04 14:54:00,4.8098112533855704e-08
2008-02-04 14:59:00,4.5750059635249966e-08
2008-02-04 15:04:00,4.2285655450615173e-08
2008-02-04 15:09:00,3.931631823319227e-08
2008-02-04 15:14:00,3.97697920195925e-08
2008-02-04 15:19:00,4.23819549810785e-08
2008-02-04 15:24:00,3.904765917074513e-08
2008-02-04 15:29:00,3.864597363419722e-08
2008-02-04 15:34:00,3.103573936283663e-08
2008-02-04 15:39:00,2.8234170393151442e-08
2008-02-04 15:44:00,3.2863386185955315e-08
2008-02-04 15:49:00,3.5980085029067384e-08
2008-02-04 15:54:00,3.520246148052378e-08
2008-02-04 15:59:00,3.260538218551313e-08
2008-02-05 09:33:00,7.162161837114395e-08
2008-02-05 09:38:00,1.0035465430896746e-07
