time,Risk
2008-05-01 09:54:00,3.2658551457660947e-07
2008-05-01 09:59:00,3.5533220265547336e-07
2008-05-01 10:04:00,2.2750614435310246e-07
2008-05-01 10:09:00,2.1238478748945508e-07
2008-05-01 10:14:00,1.712682237844612e-07
2008-05-01 10:19:00,1.6659416087062323e-07
2008-05-01 10:24:00,1.6268501508546658e-07
2008-05-01 10:29:00,1.2705780408386802e-07
2008-05-01 10:34:00,1.0528700188211166e-07
2008-05-01 10:39:00,1.244603790000748e-07
2008-05-01 10:44:00,1.053218496465501e-07
2008-05-01 10:49:00,6.143518036244176e-08
2008-05-01 10:54:00,6.285344784442167e-08
2008-05-01 10:59:00,6.006080881442566e-08
2008-05-01 11:04:00,5.7889957777885585e-08
2008-05-01 11:09:00,7.224061293854645e-08
2008-05-01 11:14:00,9.083820153382406e-08
2008-05-01 11:19:00,1.1064088859301047e-07
2008-05-01 11:24:00,9.721927995964133e-08
2008-05-01 11:29:00,9.770265404627505e-08
2008-05-01 11:34:00,8.580096768140716e-08
2008-05-01 11:39:00,5.592757278598066e-08
2008-05-01 11:44:00,5.652997670597255e-08
2008-05-01 11:49:00,5.43234791437258e-08
2008-05-01 11:54:00,5.474288462381338e-08
2008-05-01 11:59:00,6.85488997564129e-08
2008-05-01 12:04:00,6.512132071205916e-08
2008-05-01 12:09:00,6.259335448629037e-08
2008-05-01 12:14:00,6.920611560131398e-08
2008-05-01 12:19:00,6.622385386332387e-08
2008-05-01 12:24:00,6.235843929478029e-08
2008-05-01 12:29:00,7.279259813613473e-08
2008-05-01 12:34:00,7.508521278438185e-08
2008-05-01 12:39:00,7.207881530203988e-08
2008-05-01 12:44:00,8.114512974134783e-08
2008-05-01 12:49:00,7.591933311596643e-08
2008-05-01 12:54:00,8.666483858334075e-08
2008-05-01 12:59:00,8.972695428276812e-08
2008-05-01 13:04:00,6.678583947310112e-08
2008-05-01 13:09:00,7.307904010678889e-08
2008-05-01 13:14:00,5.2424304678822307e-08
2008-05-01 13:19:00,1.0524201356810597e-07
2008-05-01 13:24:00,9.433014957129681e-08
2008-05-01 13:29:00,8.480140866192358e-08
2008-05-01 13:34:00,7.199496424792875e-08
2008-05-01 13:39:00,5.4645902872354614e-08
2008-05-01 13:44:00,3.66154680033476e-08
2008-05-01 13:49:00,3.2014777220413535e-08
2008-05-01 13:54:00,3.472591362556188e-08
2008-05-01 13:59:00,3.344248690568847e-08
2008-05-01 14:04:00,2.909229970813483e-08
2008-05-01 14:09:00,2.7380413492027e-08
2008-05-01 14:14:00,3.7782490733638044e-08
2008-05-01 14:19:00,2.980704516261803e-08
2008-05-01 14:24:00,2.5687303707759817e-08
2008-05-01 14:29:00,4.120771017435934e-08
2008-05-01 14:34:00,4.9114026112476937e-08
2008-05-01 14:39:00,4.8057014170701454e-08
2008-05-01 14:44:00,5.3981433289759834e-08
2008-05-01 14:49:00,4.613363646629132e-08
2008-05-01 14:54:00,4.313344535679215e-08
2008-05-01 14:59:00,4.981540475054407e-08
2008-05-01 15:04:00,5.449591082893824e-08
2008-05-01 15:09:00,5.2058746739607764e-08
2008-05-01 15:14:00,4.559426191015401e-08
2008-05-01 15:19:00,5.010119445128308e-08
2008-05-01 15:24:00,8.140942712316452e-08
2008-05-01 15:29:00,7.374963887081351e-08
2008-05-01 15:34:00,7.999888313388399e-08
2008-05-01 15:39:00,7.972182248170768e-08
2008-05-01 15:44:00,1.2925961415711102e-07
2008-05-01 15:49:00,1.063119165231647e-07
2008-05-01 15:54:00,1.0003149535249644e-07
2008-05-01 15:59:00,1.037066294510512e-07
2008-05-02 09:33:00,3.6925799179339403e-07
2008-05-02 09:38:00,2.364272146734729e-07
2008-05-02 09:43:00,2.439543899174799e-07
2008-05-02 09:48:00,2.514565202063604e-07
2008-05-02 09:53:00,2.532922637247649e-07
2008-05-02 09:58:00,9.541528138526282e-07
